model,train_time,num_params,flops,compute_tput,load_tput
schaefer400,14.315833333333334,98.584066,89.548859392,556.6424793823954,4066.1444698418427
flat,29.80638888888889,99.744256,92.664832,573.9782970109584,264.69907924029786
mni_cortex,60.36833333333333,100.762624,116.251963392,459.62120527831655,140.04604086079215
